activity_id,activity_title,instruction,activity_type,category,subcategory,duration,difficulty,cost,location,age_range,neurodivergent_friendly,neurodivergent_notes,sensory_tags,social_type,energy_level,outcome_tag,mood_match
ACT-001555,Practice simple tai chi movements for improving balance and posture,"Stand with your feet shoulder-width apart, relax your shoulders, and slowly shift your weight to one foot while lifting the other foot slightly off the ground. Hold for a few seconds, then switch feet. Repeat this for 5-10 minutes, focusing on your breath.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",20 min,Tier-1,Free,Outdoor,10 to 80,Yes,"Gentle movements, predictable routine, calming focus on breath and balance","['Movement', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Good']"
ACT-001556,Use uncooked rice and different containers to experiment with sound,"Gather uncooked rice and various containers like bowls, jars, and boxes. Pour the rice into each container and tap or shake them to explore the different sounds they make.",Micro,Tactile & Sensory,"Grounding, Sensory Play",10 min,Tier-1,Free,Indoor,3 to 99,Yes,"Engaging and flexible activity, allows for exploration at one's own pace, can be calming or stimulating depending on the approach","['Sound', 'Touch']",Solo,Low,['Calming'],"['Neutral', 'Peaceful', 'Boredom']"
ACT-001557,Learn Sun Salutations and practice them at sunrise for one week,"Sun salutations are a flowing sequence of yoga poses done in rhythm with your breath. Start standing, raise your arms overhead, fold forward, step back into a plank, flow through to a gentle backbend, and repeat 5 times. Practice this each morning at sunrise for a week.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-1,Free,Outdoor,10 to 80,Partial,"Gentle movement with predictable sequences, can be adapted to personal pace","['Movement', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral', 'Anxiety']"
ACT-001558,Knit a pair of cozy socks as a gift for someone special,"Gather two skeins of soft yarn and a pair of knitting needles. Cast on 40 stitches and knit in a rib pattern (knit 2, purl 2) for 5 inches. Shape the heel with short rows, then continue knitting until the sock reaches the desired length. Bind off and weave in ends.",Long-Term,Manual Crafting,"Knitting, Woodworking",Multi-day,Tier-2,Low,Indoor,12 to 100,Partial,,"['Touch', 'Sight']",Solo,Low,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-001559,Transform a wooden crate into a small bookshelf or storage unit,"Find a wooden crate, sand it down if needed, then paint or stain it to your liking. Once dry, place it against a wall and fill it with books or items you want to store.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",60 min,Tier-2,Low,Indoor,12 to 70,Partial,"Engaging and creative process, allows for personal expression, can be done at your own pace","['Touch', 'Sight']",Solo,Medium,['Focus'],"['Happy', 'Excited', 'Neutral']"
ACT-001560,Solve a Rubik's Cube using logical strategies without any aids,"Start by familiarizing yourself with the cube's color layout. Then, practice solving one face first, followed by the middle layer, and finally the last layer using logical sequences. Aim to solve it without looking up guides.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",40 min,Tier-2,Free,Indoor,10 to 60,Yes,"Engaging and structured activity, allows for repetitive practice, can be calming and focuses the mind.","['Touch', 'Sight']",Solo,Medium,['Focus'],"['Neutral', 'Good', 'Anxiety', 'Boredom']"
ACT-001561,Host a riddle exchange evening with family and friends,"Gather your family and friends, take turns sharing riddles, and enjoy the laughter and challenge of solving them together. Prepare a list of 5-10 riddles to get started.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",3 hrs,Tier-1,Free,Indoor,8 to 80,Partial,"Encourages social interaction, but may require patience for processing responses.",['Sound'],Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good']"
ACT-001562,Create a worm compost bin using kitchen scraps,"Find a container with a lid, layer shredded newspaper and kitchen scraps, then add red wigglers (about 1 pound) to start your worm compost bin. Keep it moist and in a dark place.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-1,Low,Indoor,10 to 100,Yes,"Hands-on activity with clear steps, sensory engagement with textures, and no strict time limits.","['Touch', 'Smell']",Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Good']"
ACT-001563,"Plant and maintain a windowsill herb garden with basil, mint, and parsley","Fill small pots with potting soil, plant basil, mint, and parsley seeds according to package instructions, water gently, and place them on your windowsill to enjoy sunlight.",Long-Term,Manual Crafting,"Knitting, Woodworking",Multi-day,Tier-1,Low,Indoor,10 to 90,Yes,"Routine care provides structure, sensory engagement with soil and plants, and a calming activity to focus on.","['Touch', 'Sight', 'Smell']",Solo,Low,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-001564,Create a sensory path with natural materials,"Gather different natural materials like leaves, stones, and twigs, and arrange them on the ground in a path for your feet to explore. Take a moment to walk along it and notice the textures and sensations.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Engaging with natural textures can be soothing and grounding, allowing for exploration at your own pace.","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Peaceful', 'Neutral', 'Boredom']"
ACT-001565,Play with bubbles made from soapy water,Mix 1 cup of dish soap with 4 cups of water in a bowl. Use a bubble wand or your hands to blow bubbles and watch them float and pop.,Micro,Gardening,"Plant Care, Vegetable Growing",10 min,Tier-1,Free,Outdoor,3 to 99,Yes,"Simple and playful activity, engaging sensory experience, no pressure to perform","['Touch', 'Sight']",Solo,Low,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-001566,Develop a yoga routine for flexibility and tension relief,"Start with a gentle warm-up, then flow through poses like downward dog, cat-cow, and seated forward bend, holding each for 5 breaths. Finish with a relaxing savasana for 5 minutes.",Long-Term,Tactile & Sensory,"Grounding, Sensory Play",Multi-day,Tier-2,Free,Indoor,14 to 90,Yes,"Structured routine with clear steps, calming environment, and focus on breath can help with sensory regulation.","['Movement', 'Touch']",Solo,Medium,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-001567,Use pop-tops or metal rings to knit a chainmail coaster,"Gather pop-tops or metal rings and start linking them together by threading one ring through another, creating a pattern until you form a coaster shape. Aim for a diameter of about 4-6 inches.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,10 to 70,Yes,"Engaging tactile activity with repetitive motions, allows for focus without time pressure.","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Boredom']"
ACT-001568,Construct a picture frame from driftwood collected on a walk,"Gather pieces of driftwood during your walk, then arrange them into a square or rectangle shape and glue the ends together to form a frame. Allow the glue to dry before adding a photo.",Time-Bound,Manual Crafting,"Knitting, Woodworking",40 min,Tier-2,Free,Indoor,10 to 70,Partial,,"['Touch', 'Sight']",Solo,Medium,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-001569,Complete a challenging maze from a printed puzzle book,"Find a printed puzzle book and choose a challenging maze. Use a pencil to trace your path through the maze, focusing on finding the way out.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-2,Low,Indoor,8 to 100,Yes,"Engaging and focused activity with clear goals, can be done at one's own pace","['Touch', 'Sight']",Solo,Low,['Focus'],"['Neutral', 'Good', 'Boredom', 'Anxiety']"
ACT-001570,Enjoy a brainteaser afternoon with friends,"Gather a few friends and take turns sharing classic riddles and puzzles, challenging each other and enjoying the laughter that follows.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",3 hrs,Tier-1,Free,Indoor,10 to 60,Partial,Social interaction can be unpredictable; consider having a few prepared riddles for comfort.,['Sound'],Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good']"
ACT-001571,Walk on tiptoe around your living room,"Spend five minutes walking on tiptoe around your living room, feeling the stretch in your calves and the balance in your body as you move.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,5 to 100,Yes,"Gentle movement, easy to modify, can be done at your own pace without pressure","['Movement', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Neutral', 'Boredom']"
ACT-001572,Perform a cat-cow sequence,"Get on your hands and knees, inhale as you arch your back and look up (cow), then exhale as you round your back and tuck your chin (cat). Repeat this for five minutes, flowing with your breath.",Micro,Puzzle & Logic,"Puzzles, Brain Games",10 min,Tier-1,Free,Indoor,10 to 80,Yes,"Gentle movement, rhythmic breathing, and simple sequence help with focus and relaxation.","['Movement', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-001573,Try tree pose with a partner,Stand on one leg and bring the other foot to your inner thigh or calf. Hold hands with your partner for balance and switch legs every minute. Keep this going for 10 minutes.,Time-Bound,Gardening,"Plant Care, Vegetable Growing",20 min,Tier-1,Free,Outdoor,10 to 60,Yes,"Gentle movement, partner support, and a playful approach make this activity engaging and accessible.","['Movement', 'Touch']",Group 2-10,Medium,"['Calming', 'Social Connection']","['Happy', 'Good', 'Peaceful', 'Excited']"
ACT-001574,Touch your toes stretch,"Bend down slowly and touch your toes, holding the stretch while counting to 100.",Micro,Tactile & Sensory,"Grounding, Sensory Play",10 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Gentle movement, simple counting, promotes body awareness and grounding","['Touch', 'Movement']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Boredom', 'Good']"
ACT-001575,Gentle head and neck rotations,"Sit comfortably and slowly rotate your head in a circular motion, holding each position for 15 seconds. Repeat in both directions to release tension.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Indoor,10 to 90,Yes,"Simple and repetitive movements, can be done anywhere, helps with focus and relaxation",['Movement'],Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful', 'Good']"
ACT-001576,Perform wall push-ups with different hand positions,"Stand facing a wall, place your hands at shoulder width for standard push-ups, then try wider and narrower positions. Push away from the wall for 10 minutes, focusing on your form and breathing.",Time-Bound,Micro-Movement,"Stretching, Yoga",20 min,Tier-1,Free,Indoor,10 to 70,Yes,"Simple, repetitive movements that can be adjusted to comfort, promotes focus and body awareness","['Touch', 'Movement']",Solo,Medium,['Energising'],"['Good', 'Neutral', 'Boredom', 'Anxiety']"
ACT-001577,Engage in a sun salutation flow in your backyard,"Sun salutations are a flowing sequence of yoga poses done in rhythm with your breath. Start standing, raise your arms overhead, fold forward, step back into a plank, flow through to a gentle backbend, and repeat for 15 minutes while enjoying the fresh air.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-2,Free,Outdoor,12 to 80,Partial,"Gentle movement, rhythmic flow, can be adapted to personal pace","['Movement', 'Sight']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-001578,Balance on one leg while brushing your teeth,"Stand on one leg while brushing your teeth for three minutes, then switch to the other leg. Focus on your balance and enjoy the moment.",Micro,Gardening,"Plant Care, Vegetable Growing",10 min,Tier-1,Free,Indoor,5 to 100,Yes,"Simple task, promotes focus on balance, can be done at your own pace","['Movement', 'Touch']",Solo,Low,['Calming'],"['Neutral', 'Good', 'Peaceful', 'Boredom']"
ACT-001579,Perform a morning full-body stretch routine,"Upon waking, spend 10 minutes doing a full-body stretch routine: reach your arms overhead, bend to touch your toes, twist your torso side to side, and gently stretch each leg and arm. Focus on your breath and enjoy the movement.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",20 min,Tier-1,Free,Indoor,5 to 100,Yes,"Gentle movements, predictable routine, promotes body awareness and relaxation","['Movement', 'Touch']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral', 'Happy']"
ACT-001580,Try five minutes of focused breathing exercises while sitting cross-legged outside,"Find a quiet spot outdoors, sit cross-legged, close your eyes, and take deep breaths in through your nose for a count of four, hold for four, and exhale through your mouth for a count of six. Repeat this cycle for five minutes.",Micro,Baking & Cooking,"Baking, Cooking",10 min,Tier-1,Free,Outdoor,10 to 100,Yes,"Gentle and calming, can be done at your own pace, encourages focus without pressure","['Sound', 'Touch']",Solo,Low,['Calming'],"['Anxiety', 'Overwhelmed', 'Peaceful', 'Neutral']"
ACT-001581,Create and solve a new Sudoku puzzle using a pencil and paper,"Grab a pencil and a blank Sudoku grid. Fill in the numbers 1-9 in each row, column, and 3x3 box without repeating any numbers. Challenge yourself to complete it in 20 minutes.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-2,Free,Indoor,10 to 100,Yes,Engaging and structured activity that allows for focus and problem-solving without time pressure.,"['Touch', 'Sight']",Solo,Low,['Focus'],"['Neutral', 'Boredom', 'Anxiety', 'Peaceful']"
ACT-001582,Make a five-piece tangram set out of cardboard,"Cut five geometric shapes from a piece of cardboard to create a tangram set. Then, challenge yourself to solve various configurations using these pieces.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",40 min,Tier-2,Free,Indoor,8 to 80,Yes,"Engaging and structured activity with clear visual outcomes, allowing for creativity and problem-solving at your own pace.","['Touch', 'Sight']",Solo,Medium,['Focus'],"['Neutral', 'Good', 'Excited']"
ACT-001583,Draw a maze on paper and challenge a family member to solve it,"Grab a blank sheet of paper and a pen or pencil. Draw a maze with twists and turns, then challenge a family member to find their way through it.",Micro,Gardening,"Plant Care, Vegetable Growing",10 min,Tier-1,Free,Indoor,5 to 100,Yes,"Simple, creative task with clear instructions, allows for personal expression and social interaction","['Touch', 'Sight']",Optional Group,Low,"['Focus', 'Social Connection']","['Happy', 'Excited', 'Neutral']"
ACT-001584,Play a game of chess with a friend using a physical chessboard,"Set up a chessboard with pieces in their starting positions, take turns moving pieces according to the rules of chess, and enjoy the strategic challenge together.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",60 min,Tier-2,Free,Indoor,10 to 100,Yes,"Structured gameplay with clear rules, promotes focus and social interaction in a calm environment","['Touch', 'Sight']",Group 2-10,Low,"['Focus', 'Social Connection']","['Happy', 'Neutral', 'Good', 'Peaceful']"
ACT-001585,Engage in a series of brain teasers,"Find an old puzzle book and solve 20 brain teasers, taking your time to think through each one and enjoy the challenge.",Time-Bound,Baking & Cooking,"Baking, Cooking",20 min,Tier-2,Free,Indoor,10 to 100,Yes,"Engaging and stimulating without time pressure, allows for flexible pacing","['Sight', 'Sound']",Solo,Medium,['Focus'],"['Neutral', 'Boredom', 'Anxiety', 'Good']"
ACT-001586,Set up a home scavenger hunt with written clues leading to small prizes,Create a list of 5-10 clues that lead to small prizes hidden around your home. Write each clue on a piece of paper and place them in the corresponding locations.,Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Indoor,5 to 100,Yes,"Flexible structure, allows for personal pacing, engaging sensory exploration","['Sight', 'Touch']",Optional Group,Medium,['Social Connection'],"['Happy', 'Excited', 'Good']"
ACT-001587,Challenge yourself to solve a Rubik's Cube without any help or notes,Pick up a Rubik's Cube and start twisting the sides to match all colors on each face. Challenge yourself to solve it without any guides or notes.,Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-2,Free,Outdoor,8 to 100,Partial,,"['Touch', 'Sight']",Solo,Medium,['Focus'],"['Neutral', 'Boredom', 'Anxiety']"
ACT-001588,Organize a friendly jigsaw puzzle race,Gather friends and set a timer for 30 minutes. Each team races to complete a 100-piece puzzle — see who finishes first!,Time-Bound,Gardening,"Plant Care, Vegetable Growing",40 min,Tier-1,Free,Indoor,8 to 80,Yes,"Encourages teamwork, clear structure, and allows for breaks if needed.","['Touch', 'Sight']",Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good', 'Neutral']"
ACT-001589,Design and complete your own crossword using graph paper,"Grab a piece of graph paper and a pencil. Start by thinking of words you want to include, then create a grid by filling in the words both horizontally and vertically. Add clues for each word and enjoy solving your own puzzle.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",40 min,Tier-2,Free,Indoor,10 to 80,Yes,"Structured activity with clear steps, allows for personal creativity and flexibility in design","['Touch', 'Sight']",Solo,Low,['Focus'],"['Neutral', 'Good', 'Peaceful', 'Boredom']"
ACT-001590,Try swapping the pieces of two different jigsaw puzzles and solve both,Take two different jigsaw puzzles and mix their pieces together. Set a timer for 30 minutes and see how many pieces you can fit into each puzzle before time runs out.,Time-Bound,Baking & Cooking,"Baking, Cooking",20 min,Tier-2,Free,Indoor,8 to 80,Partial,Engaging but may require focus; can be overwhelming with too many pieces at once.,"['Touch', 'Sight']",Solo,Low,['Focus'],"['Neutral', 'Boredom', 'Good', 'Peaceful']"
ACT-001591,Create a miniature zen garden using sand and small rocks found in nature,"Gather some fine sand and small rocks from your surroundings, then arrange them in a shallow container to create a peaceful zen garden. Use a stick or your fingers to draw patterns in the sand.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Free,Outdoor,10 to 100,Yes,"Engaging with natural materials can be soothing, and the activity allows for personal expression without time constraints.","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Boredom', 'Good']"
ACT-001592,Identify and press five different types of leaves from your local park,Take a walk in your local park and collect five different types of leaves. Press them between the pages of a heavy book for a few days to preserve their shape and color.,Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Engaging with nature can be soothing, and the activity allows for flexible pacing and exploration.","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-001593,Plant a small herb garden on your windowsill,"Gather seeds you already have, fill small pots with potting soil, plant the seeds according to the package instructions, and water gently. Place them on your windowsill to soak up the sun.",Long-Term,Gardening,"Plant Care, Vegetable Growing",Multi-day,Tier-1,Low,Indoor,10 to 90,Yes,"Simple, repetitive tasks with a focus on nurturing, provides a calming routine","['Touch', 'Sight', 'Smell']",Solo,Low,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-001594,Take a nature walk and collect interesting stones,"Go for a walk in nature, pick up interesting stones that catch your eye, and arrange them in a pattern when you return home.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",60 min,Tier-1,Free,Outdoor,5 to 100,Yes,"Engaging with nature can be soothing and grounding, allowing for personal expression without pressure.","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-001595,Join a local community garden and help with planting and weeding duties for a day,"Find a local community garden and volunteer for a day to assist with planting seeds and weeding. Bring gloves, a water bottle, and a hat for sun protection.",Time-Bound,Baking & Cooking,"Baking, Cooking",3 hrs,Tier-1,Free,Outdoor,10 to 100,Yes,"Structured tasks, outdoor environment, social interaction, and sensory engagement with nature","['Touch', 'Sight', 'Movement']",Group 2-10,Medium,"['Calming', 'Social Connection']","['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-001596,Paint a flower pot using colors found in nature and use it for your indoor plant,"Collect natural colors like soil, leaves, or flower petals, then use a brush to paint your flower pot with these colors. Let it dry and fill it with your favorite indoor plant.",Time-Bound,Micro-Movement,"Stretching, Yoga",20 min,Tier-1,Low,Indoor,10 to 80,Yes,"Creative expression with sensory engagement, flexible timing, and no strict rules","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-001597,Spend a day volunteering at a local botanical garden,"Contact your local botanical garden to arrange a volunteer day. Spend the day helping with tasks like planting, weeding, or watering plants and enjoy the beauty of nature around you.",Long-Term,Puzzle & Logic,"Puzzles, Brain Games",3 hrs,Tier-2,Free,Outdoor,14 to 90,Yes,"Structured tasks, sensory-rich environment, opportunity for social interaction without pressure","['Touch', 'Sight', 'Sound']",Group 2-10,Medium,['Calming'],"['Happy', 'Excited', 'Good', 'Peaceful']"
ACT-001598,Prune the bushes in your yard to a specific shape of your choice,"Use sharp garden shears to trim the bushes into your desired shape, removing any dead or overgrown branches. Take your time and enjoy the process.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",40 min,Tier-2,Free,Outdoor,12 to 80,Partial,"The activity can be soothing but may require focus on the task, which could be overwhelming for some.","['Touch', 'Sight', 'Sound']",Solo,Medium,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-001599,Start a compost bin from household scraps,"Collect kitchen scraps like vegetable peels, coffee grounds, and eggshells. Layer them in a bin with dry leaves or shredded paper, turning it occasionally to aerate. Keep it moist but not soggy.",Long-Term,Tactile & Sensory,"Grounding, Sensory Play",Multi-day,Tier-1,Free,Indoor,10 to 90,Yes,"Simple, repetitive tasks with tangible results, flexible timing, and sensory engagement","['Touch', 'Smell']",Solo,Low,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-001600,Create a mosaic garden stepping stone using pebbles,"Gather a flat stone, some pebbles, and a strong adhesive. Arrange the pebbles in a creative design on the stone, then let it dry completely before placing it in your garden.",Time-Bound,Baking & Cooking,"Baking, Cooking",60 min,Tier-2,Low,Outdoor,10 to 80,Yes,"Creative expression with a focus on tactile engagement, allowing for personal design choices and no strict time limits.","['Touch', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-001601,Plan a three-month seasonal vegetable planting schedule on paper,"Research seasonal vegetables for your area, then create a simple chart on paper outlining when to plant each type over the next three months.",Long-Term,Micro-Movement,"Stretching, Yoga",60 min,Tier-2,Free,Indoor,10 to 100,Yes,"Structured planning can help with organization, and the activity allows for breaks and adjustments as needed.","['Touch', 'Sight']",Solo,Low,['Focus'],"['Neutral', 'Good', 'Peaceful']"
ACT-001602,Braid garden twine into a trellis for climbing plants,"Cut a length of garden twine about 10 feet long. Braid the twine into a sturdy trellis shape, securing it at the ends, and then attach it to a wall or stake for your climbing plants like peas or beans.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",40 min,Tier-2,Low,Outdoor,12 to 70,Partial,"The activity involves repetitive motions and can be done at your own pace, which may help with focus.","['Touch', 'Sight']",Solo,Medium,['Focus'],"['Neutral', 'Good', 'Peaceful']"
ACT-001603,Build a raised bed using scrap wood,"Gather scrap wood and nails, then construct a rectangular frame about 4 feet long and 2 feet wide. Secure the corners with nails and fill it with soil to prepare for planting.",Long-Term,Gardening,"Plant Care, Vegetable Growing",3 hrs,Tier-2,Low,Outdoor,12 to 80,Partial,"Clear steps, physical activity, and the ability to take breaks as needed","['Touch', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Neutral', 'Good']"
ACT-001604,Construct a scarecrow from old clothes and straw,"Gather old clothes, straw, and a sturdy stick. Stuff the clothes with straw, tie them off, and attach them to the stick to create a figure. Place it in your vegetable patch to scare away birds.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",40 min,Tier-2,Free,Outdoor,10 to 60,Partial,"Hands-on activity with a clear outcome, allows for personal creativity and sensory engagement","['Touch', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Good']"
ACT-001605,Start a seed exchange with neighbors,"Gather seeds from your garden and invite neighbors to bring their own seeds to share. Set a date and location for everyone to meet and exchange seeds, discussing the different varieties and how to grow them.",Long-Term,Baking & Cooking,"Baking, Cooking",Multi-day,Tier-1,Free,Outdoor,10 to 90,Yes,"Encourages social interaction in a relaxed setting, allows for personal choice in participation, and offers a variety of sensory experiences.","['Touch', 'Sight', 'Sound']",Group 2-10,Medium,['Social Connection'],"['Happy', 'Excited', 'Good']"
ACT-001606,Propagate a tomato plant,"Take a healthy cutting from a tomato plant, remove the lower leaves, and place the cutting in a glass of water. Change the water every few days until roots develop, which usually takes about 1-2 weeks.",Long-Term,Micro-Movement,"Stretching, Yoga",Multi-day,Tier-1,Free,Indoor,10 to 90,Yes,"Simple, repetitive task with visual progress; no strict time limits.","['Touch', 'Sight']",Solo,Low,['Calming'],"['Peaceful', 'Good', 'Neutral']"
ACT-001607,Experiment with companion planting,"Choose two vegetables that are known to benefit each other, like tomatoes and basil. Plant them close together in your garden or pots, and watch how they thrive together.",Long-Term,Puzzle & Logic,"Puzzles, Brain Games",Multi-day,Tier-2,Low,Outdoor,10 to 90,Yes,"Engaging with nature, flexible timing, and the satisfaction of watching plants grow can be soothing.","['Touch', 'Sight', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Excited', 'Peaceful']"
ACT-001608,Encourage pollinators by leaving a patch of wildflowers in your vegetable garden,"Select a small area in your vegetable garden and sow a mix of wildflower seeds, covering them lightly with soil. Water gently and watch as pollinators visit your garden.",Long-Term,Gardening,"Plant Care, Vegetable Growing",Multi-day,Tier-1,Low,Outdoor,10 to 100,Yes,"Gentle outdoor activity, allows for gradual engagement with nature, and offers a calming environment.","['Touch', 'Sight', 'Smell']",Solo,Low,['Calming'],"['Happy', 'Peaceful', 'Good']"
ACT-001609,"Dig a small, tiered vegetable patch on a hillside","Choose a sunny spot on a hillside, use a spade to dig out a small, tiered patch about 3 feet wide and 2 feet deep, then plant your favorite vegetables in rows to help prevent soil erosion.",Long-Term,Tactile & Sensory,"Grounding, Sensory Play",3 hrs,Tier-2,Low,Outdoor,10 to 70,Partial,"Physical activity can be grounding, but may require breaks and adjustments based on sensory preferences.","['Touch', 'Sight', 'Movement']",Optional Group,Medium,['Calming'],"['Happy', 'Peaceful', 'Good', 'Neutral']"
ACT-001610,Create a sensory path in your backyard,"Gather items like stones, mulch, and sand. Arrange them in a path in your backyard, creating different textures for your feet to explore as you walk.",Long-Term,Baking & Cooking,"Baking, Cooking",Multi-day,Tier-2,Low,Outdoor,5 to 100,Partial,"Engaging with different textures can be soothing, but may require supervision for safety.","['Touch', 'Sight']",Optional Group,Medium,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-001611,Craft a lavender sachet using dried flowers and fabric scraps,"Gather dried lavender flowers and fabric scraps. Cut the fabric into a small square, place a tablespoon of lavender in the center, gather the edges, and tie it closed with string or ribbon.",Micro,Micro-Movement,"Stretching, Yoga",10 min,Tier-1,Low,Indoor,10 to 80,Yes,"Simple steps, tactile engagement, and a calming scent can help create a soothing environment.","['Touch', 'Smell']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-001612,Mix a homemade batch of lavender and chamomile bath salts in a jar,"In a bowl, mix 1 cup of Epsom salt, 1 cup of sea salt, and 1/2 cup of baking soda. Add 10 drops of lavender essential oil and 10 drops of chamomile essential oil. Stir well and transfer to a jar.",Time-Bound,Puzzle & Logic,"Puzzles, Brain Games",20 min,Tier-1,Low,Indoor,12 to 80,Yes,"Simple, clear steps with a focus on sensory engagement and calming scents.","['Touch', 'Smell']",Solo,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-001613,Arrange a sensory meditation circle with aromatic herbs and soft cushions,"Gather a variety of aromatic herbs like lavender, mint, and rosemary. Arrange them in a circle on the ground, placing soft cushions around for seating. Sit comfortably, close your eyes, and take deep breaths, focusing on the scents around you.",Time-Bound,Gardening,"Plant Care, Vegetable Growing",40 min,Tier-1,Free,Outdoor,10 to 80,Yes,"Gentle sensory experience, calming scents, flexible seating, no strict structure","['Smell', 'Touch']",Optional Group,Low,['Calming'],"['Peaceful', 'Anxiety', 'Overwhelmed']"
ACT-001614,"Make tactile play dough with flour, salt, and water","Mix 2 cups of flour, 1 cup of salt, and 1-1.5 cups of water in a bowl until a dough forms. Add a few drops of essential oils for scent and knead until smooth.",Time-Bound,Tactile & Sensory,"Grounding, Sensory Play",20 min,Tier-1,Low,Indoor,3 to 100,Yes,"Simple, hands-on activity with predictable outcomes, allows for creativity and sensory exploration","['Touch', 'Smell']",Optional Group,Medium,['Calming'],"['Happy', 'Peaceful', 'Neutral']"
ACT-001615,Weave a small mat or coaster using discarded fabric strips,"Gather fabric strips from old clothes or scraps, and weave them together using a simple over-under technique to create a small mat or coaster.",Long-Term,Baking & Cooking,"Baking, Cooking",3 hrs,Tier-2,Low,Indoor,10 to 100,Yes,"Repetitive motion can be soothing, allows for creativity without strict guidelines, and can be done at your own pace.","['Touch', 'Sight']",Solo,Medium,['Calming'],"['Peaceful', 'Neutral', 'Good']"
